probeset_id	gene_symbol
490_g_at MUTYH
34960_g_at FCER2
36096_at REEP1
37374_at ANXA4
41302_at AHCYL1
32715_at VAMP8
36185_at AARS
1768_s_at CSK
35152_at RAMP3
37442_at DKFZP586I1420
33342_at SNUPN
39086_g_at SSBP1
40469_at MCM3AP
36488_at MEGF9
296_at TUBB2A
39746_at POLR2B
37186_s_at ABP1
36505_at CASQ2
32504_at SNX27
36351_at KAZALD1
37409_at SRPK2
37542_at LHFPL2
32224_at FCHSD2
36847_r_at LSM7
37414_at SLC22A18AS
39069_at AEBP1
34504_at SPP2
41697_at ACOX3
161_at RAB9BP1
36417_s_at ACAA1
39426_at TCERG1
39362_r_at TSPAN6
39389_at CD9
35337_at FBXO7
41729_at ARIH1
1815_g_at TGFBR2
33800_at ADCY9
39154_at GADD45G
36535_at MFAP1
38090_at PISD
1255_g_at GUCA1A
34921_at SEC14L5
38870_at GFRA2
41384_at RIPK2
39944_at ZNF35
36892_at ITGA7
36523_at ATP7A
37348_s_at HMGN3
38418_at CCND1
32102_at SACS
39645_r_at ARR3
37512_at HSD17B6
39346_at KHDRBS1
40432_at GNS
33101_g_at FETUB
36326_at NHLH2
38501_s_at ITGB3BP
33405_at CAP2
38118_at SHC1
38141_at C5orf22
38829_r_at KHSRP
34739_at FNBP1L
35271_at ACTR3
40570_at FOXO1
41161_at DAXX
38282_at ADAM15
1290_g_at GSTM5
37615_at GRB10
36926_at MAPK6
34866_at MGAT5
38886_i_at DIRAS3
38297_at PITPNM1
39833_at MINK1
37915_at BAZ2B
40350_at ADAM23
775_at HTR1B
40308_at ATAD2B
37093_at ENDOU
38140_at EXTL1
36444_s_at CCL23
35486_at LIN7A
36329_at SCGB2A2
41212_r_at EIF4H
33848_r_at CDKN1B
32080_at MFSD10
34434_at CCL16
38286_at AMOT
40515_at EIF2B2
31612_at SCGB1D1
32093_at CHD5
32169_at FBXO21
37956_at ALDH3B2
36840_at DNAJC11
34745_at RAPGEF2
36765_at SPEF1
41206_r_at COX6A1
36617_at ID1
41441_at TBP
31888_s_at PHLDA2
34772_at CORO2B
40453_s_at SRSF5
38348_at ACOX2
198_g_at NME3
35823_at PPIB
37755_at BTBD3
41812_s_at NUP210
34176_at SMAGP
34224_at FADS3
40728_at ALOX12P2
41561_s_at IFT20
39005_s_at LTN1
39337_at H2AFZ
36544_at ARL3
41640_at YIPF1
34795_at PLOD2
41381_at CHD9
34845_at SAMM50
36269_at ADAMTS3
35540_at HYAL3
37530_s_at RELN
34945_at PLXDC1
35289_at RABGAP1
36954_at TATDN2
40764_at GOT2
36597_at NOLC1
38267_at SLC1A1
40149_at SH2B1
36305_at SLC6A3
40114_at AFP
36298_at PRPH
39134_at TOM1
40109_at SRF
859_at CYP1B1
34274_at SCAF8
36319_at FOXF2
39771_at RHOBTB1
40014_at SEMA6C
1364_at PTPRZ1
32191_at PCGF2
33956_at LY96
36574_at IDH3G
41202_s_at CTDSP2
34965_at CST7
37701_at RGS2
38909_at CYP27B1
553_g_at ARHGAP1
36160_s_at PTPRN2
1521_at NME1
33355_at PBX1
1368_at IL1R1
37860_at ZNF337
33819_at LDHB
38000_at PC
34970_r_at OPLAH
35905_s_at GAPDH
35273_at MMS19
40837_at TLE2
32579_at SMARCA4
35674_at PADI2
33420_g_at API5
33902_at GPD1
35172_at TPST2
38355_at DDX3Y
39757_at SDC2
37471_at RPP40
38312_at OLFML2A
31843_at ESRRG
37763_at RXRB
41158_at PLP1
36121_at EPN2
41412_at CSDC2
40872_at COX6B1
33250_at WDR46
35223_at HPS5
37168_at LAMP3
37395_at ATP6V1F
39215_at NPPB
160043_at MYBL1
33399_at SPTSSA
34394_at ADNP
38433_at AXL
36939_at GPM6A
37420_i_at HLA-F
33352_at HIST2H2BE
39696_at PEG10
41025_r_at GYPE
38903_at GJB5
39120_at MT1X
1019_g_at WNT10B
33786_r_at CEP104
40849_s_at CREB3
33911_at PTPRD
35193_at RCBTB2
41824_at UTP18
41370_at SNRNP40
40791_at POLR2A
39977_at ZBTB11
41253_s_at PLEKHB2
37836_at TTLL5
39675_at PRRG2
160030_at GHR
37321_at TTC1
37505_at NR0B2
39106_at APOA1
36129_at SGSM2
35907_at CCNF
1252_at REEP5
36551_at C12orf29
36579_at UBE4A
35796_at TWF2
38424_at ESYT1
40585_at ADCY7
34830_at VOPP1
35028_at GABRB1
36827_at ACBD3
39576_at PDE6B
31984_at LILRP2
1563_s_at TNFRSF1A
41536_at ID4
35411_at C16orf7
41852_at RLF
32235_at MGRN1
34002_at HSD3B2
39580_at PPP1R26
37109_at PROZ
41063_g_at PCGF1
32755_at ACTA2
39282_at DNAJC24
35405_at TAT
38484_at SNAP25
31838_at FAM216A
41440_at HSD17B8
39136_at OXSR1
37305_at EZH2
38527_at NONO
36515_at GNE
40279_at VGLL4
31847_at USPL1
40330_at PLCE1
41171_at PSME2
39172_at ADO
39029_at BUD31
39535_at HMX1
34793_s_at PLS3
37673_at NSMAF
39909_g_at TAF6L
570_at RELB
35701_at HRAS
37333_at DNMT1
41114_at MAST2
34285_at KLHL18
37015_at ALDH1A1
38651_at FEZ2
33406_at CBY1
35184_at ZFC3H1
37254_at ZNF133
38411_at SORL1
35330_at FLNC
33310_at ABHD5
33545_at SCN4A
40293_at FBP2
32858_at UBN1
35669_at COBL
35770_at ATP6AP1
41179_at RNF44
32082_at SENP5
35980_at PLCB1
36996_at OS9
38160_at LY75
32942_at ST8SIA5
38318_at FAM8A1
33723_at GOSR1
31626_i_at AOC4
39405_at UTP14C
40382_at CRH
38344_at ALMS1
40374_at ANKRD1
41853_at PRPSAP2
32649_at TCF7
37201_at ITIH4
39344_at TRA2A
35628_at TM7SF2
39168_at ZBED1
40601_at TM2D1
34630_s_at DNAH9
41773_at CHMP1A
34376_at PKIG
41544_at PLK2
41369_at PNLIP
1314_at PSMD1
31902_at DIO2
35138_at AKAP8
35111_at OTC
40421_at PIN1
36894_at CBX7
35370_at SUPT7L
39021_at DPY19L1
38279_at GNAZ
35167_at PPIP5K2
31832_at TMEM194A
35485_at GRM4
40768_s_at NUP214
36533_at PTGIS
31928_at FGF6
36564_at RNF19B
37105_at CTSG
39633_at S100A3
38040_at SMNDC1
39792_at HNRNPR
37229_at ATR
40624_at OLIG2
36524_at ARHGEF4
36568_at SLC17A7
1021_at IFNG
32252_at TTR
37242_at FTO
38253_at AGL
35322_at KEAP1
31870_at CD37
34773_at TBCA
33787_at NUAK1
37178_at SLC25A46
37649_at HMBS
33702_f_at PCK1
37054_at BPI
38177_at RAMP2
34183_at CCDC69
36456_at ZZZ3
33311_at CRYAA
35992_at MSC
38450_at SSB
41688_at PLLP
32518_at ZNF259
35275_at CA12
37100_at FMNL1
37310_at PLAU
37597_s_at EXOC3
39654_at ASPA
36818_at VAMP4
37343_at ITPR3
35932_at LEFTY1
38510_at IRAK3
32228_at AP2A2
36862_at PPP6R1
38079_at GNG12
41122_at KDM1A
38995_at CLDN5
32117_at AATF
32842_at BCL7A
36659_at COL4A2
38010_at BNIP3
39088_at TMEM147
37501_at NKRF
1686_g_at SPHAR
36325_at CRYBA1
32401_at NRTN
1348_s_at PCCA
36710_at CAMP
35498_at CRYGA
36589_at AKR1B1
33774_at CASP8
36537_at ARHGEF18
40130_at ATG9A
38626_at ZZEF1
37726_at MRPL3
36150_at PLEKHM2
36636_at OAT
41457_at FAM179B
41488_at LYRM1
33062_at ZNF548
40193_at ENO2
40758_at ICT1
36447_at FCN1
40086_at WAPAL
41869_at PES1
33348_at TCF12
38031_at EIF4A3
36972_at TMED2
32747_at ALDH2
35699_at BUB1B
37976_at VSIG4
37985_at LMNB1
33212_at RRBP1
39691_at SH3GLB1
37625_at IRF4
34853_at FLRT2
38291_at PENK
38628_at KAT2A
34085_at RPL38
37920_at PITX1
39071_at ITGAV
36000_at ATF6B
36658_at DHCR24
41108_at GTPBP6
35348_at PRKAB1
36555_at SNCG
35795_at HDAC6
35265_at FXR2
39632_at MMP13
41140_at IFNGR2
41599_at GATA6
33536_at PRKG2
38890_at APCS
36268_at LPAR4
38378_at CD53
38972_at KCTD12
39563_at MIA3
34291_at FARSA
38051_at MAL
39783_at KIAA0100
33297_at C6orf130
34929_at TNFRSF8
41617_at HBE1
32854_at FBXW11
38078_at FLNB
35931_at ZNF8
34576_at MAGEA8
38208_at SLC35A3
36049_at RAB6B
39213_at PAK7
763_at GMFB
32006_r_at SMR3B
38879_at S100A12
32234_at TOR1A
39723_at CUL1
31892_at PTPRM
36198_at TOMM20
33770_at CHUK
39800_s_at HAX1
39577_at SOSTDC1
38275_at IMP4
38437_at CASC3
39989_at RRAGB
33616_at ZBTB25
38346_at DUS4L
39801_at PLOD3
1503_at BRCA2
32363_at CH25H
36764_at CACNG3
41354_at STC1
40127_at SFXN3
32107_at C2CD2
32914_f_at CACTIN
34552_at GAST
36015_at APITD1
37008_r_at SERPINA5
41748_at TNNC2
41690_at ARID5B
36143_at CASP3
37171_at KIF23
37312_at SERTAD2
39211_at CCDC94
39557_at C17orf108
38379_at GPNMB
38251_at MYL6B
39033_at TMEM59
41710_at PION
41607_at OVGP1
40569_at MZF1
1924_at CCNH
33164_at TESK2
37719_at MLF2
39822_s_at GADD45B
40399_r_at MEOX2
34214_at TRIL
37666_at PSMB5
35799_at DNAJB9
36321_at TTTY15
37308_at GPR107
32264_at GZMM
39049_at GPSM3
1052_s_at CEBPD
38869_at PLCH1
40504_at PON2
34808_at SIK3
35546_at SMC1A
40710_at CLGN
34294_at KIFC3
33328_at HEG1
34678_at MYOF
34825_at TDP2
1640_at ST13
41531_at TM4SF1
32259_at EZH1
928_at SLC26A3
34235_at GPR116
40855_at SAMD4A
38851_at LOR
36875_at IBTK
34268_at RGS19
41431_at ICK
33247_at PSMD14
32863_at CAMK1G
37230_at KLHL21
35156_at R3HCC1
33270_i_at DMXL1
36913_at SLBP
32642_at NCAN
1273_r_at CDC34
32529_at CKAP4
34810_at COQ9
40893_at SUCLA2
35668_at RAMP1
40961_at SMARCA2
36540_at RHOBTB2
39809_at HBP1
39772_at ERI3
33816_at MYO9B
37081_at DNAH7
37629_at CSNK2A2
38640_at ZNF593
41785_at EIF4G2
36997_at AK1
31543_at PROL1
1955_s_at SMAD6
37749_at MEST
33236_at RARRES3
41259_at NOP16
38544_at INHA
39278_at TGM4
1479_g_at ITK
803_at TAF13
35146_at TGFB1I1
39710_at NREP
543_g_at CRABP1
35962_at MAST1
37642_at FAM175B
41188_at LAPTM4B
36136_at TP53I11
32244_at TOX4
38017_at CD79A
40775_at ITM2A
1386_at PTPN9
40295_at CPNE6
40593_at PTBP1
40103_at EZR
34551_at POU4F2
32083_at GPR137B
41620_at DOCK4
39126_at PMF1
32951_g_at POU6F2
39960_at COQ2
627_g_at AVPR1B
41352_at ST6GAL1
35490_at PAR5
39417_at CDK19
36932_at GTF3C2
40102_at OSBPL2
35981_at REG1B
37820_at PRODH2
33380_at PAPD7
39534_at TSSK2
40813_at SLC5A3
38202_at FAT2
39140_at DHX29
36166_at DNAJC8
40653_at RGS7
32319_at TNFSF4
38557_at NCAM2
37994_at FMR1
35719_at PHLPP1
39993_at PIGA
38686_at ATP6V0D1
37538_at LOC730101
39113_at PDIA4
34184_at APC2
41220_at SEPT9
38028_at LMO3
35983_at WDR18
35319_at CTCF
31859_at MMP9
32644_at NUP188
31952_at RPL6
36543_at F3
36587_at EEF2
37319_at IGFBP3
37363_at MTSS1
32114_s_at ADORA2A
32190_at FADS2
39013_at ATG5
35626_at SGSH
37276_at IQGAP2
39428_at SH2B3
38961_at KIAA1107
1096_g_at CD19
36778_at GPR143
41096_at S100A8
40083_at SETX
40879_at BICD2
41182_at DCT
35016_at CD74
33893_r_at CEP170
32214_at TXNL1
35655_at ANKRD28
40478_at TMX4
1675_at RASA1
41085_at POLE2
37225_at KANK1
32470_at GIF
33308_at GUSB
38605_at NDUFB1
34785_at MED13L
34950_at ZNF423
35163_at FOXJ3
41430_at WDR7
505_at CDC37
38071_at HNRNPF
171_at VBP1
33788_at ENTPD4
1463_at PTPN12
40803_at TMEM123
35201_at HNRNPL
38802_at PGRMC1
33314_at GCDH
35183_at ABCA3
32946_r_at MBL2
33034_at RHBDL1
37742_at GLB1
40069_at SVIL
41760_at COX7A2
33743_at ATRNL1
40549_at CDK5
873_at HOXA5
41758_at TMEM184B
39884_g_at DIMT1
40482_s_at C1orf61
32623_at GABBR1
34249_at EPM2A
36834_at MOXD1
37547_at BBS9
38419_at KIAA0196
32558_at PIAS3
41399_at PHF8
32868_at TGM3
35675_at SORBS3
35621_at PMVK
36767_at CYP1A1
41111_at BCAT2
41205_at UBE3A
33437_at FTSJ1
33443_at SERINC1
40718_at CTSW
41675_at SNAP91
32217_at CSRNP2
36873_at VLDLR
36500_at NSDHL
32552_at RBP4
34062_at ETV2
36694_at KCNS3
37766_s_at PSMC5
33168_at SLC46A3
40053_at ERP44
37386_i_at KDELR1
39814_s_at DHRS7
33128_s_at CST6
1657_at PTPRR
33604_at IRS4
33797_at MPHOSPH10
35717_at ABCA8
35302_at NXF1
37828_at RSBN1
37695_at RNF144A
38521_at CD22
36102_at VDAC3
36624_at IMPDH2
37694_at PHF3
34927_at CD1B
36065_at LDB2
38032_at SV2A
32569_at PAFAH1B1
33810_at TRRAP
35814_at EIF3M
37122_at PLIN1
37529_at CACNA1H
38638_at PDHA1
34854_at CIAPIN1
40120_at HAGH
36089_at INPP5F
35615_at BOP1
37572_at CCK
37924_g_at APOM
33947_at GPR3
35290_at YTHDF3
40976_at KATNB1
1376_at LIG1
533_g_at PTH1R
36455_at COL9A3
33570_at NKX2-5
35217_at MFAP3
38183_at FOXF1
38885_at DNA2
34822_at TP53BP2
32882_at SOAT2
35063_at HGFAC
41349_at PSEN2
36047_at NEK1
39928_at GRM3
38864_at NFATC2IP
32650_at TAGLN3
35096_at SLC1A6
31768_at HIST1H2AI
32585_at EPB41L2
35594_at PNLIPRP2
36264_at MATK
40763_at MEIS1
39812_at MRPL12
40380_at ELAVL4
37686_s_at UNG
40546_s_at NDUFA2
40683_at GRB14
41306_at NECAB3
37977_at DTX2
33535_at P2RX1
38739_at ETS2
32887_at AZI1
36606_at CPE
40093_at BCAM
32431_at ZP2
40505_at UBE2L6
41858_at PGAP2
36097_at IER2
38322_at PAGE4
35976_at CITED1
40020_at CELSR3
895_at MIF
33498_at REG1P
40748_at CPA2
41094_at PIP
35903_at OMG
34518_at FSTL4
38052_at F13A1
160035_at CEACAM7
40318_at DYNC1I1
36127_g_at COASY
31844_at HGD
38949_at PRKCQ
1643_g_at MTA1
36133_at DSP
36453_at KBTBD11
35938_at PLA2G4A
39358_at NCOR2
38925_at CRISP2
34298_at ITIH1
40862_i_at CKB
35671_at GTF3C1
35011_at HECW1
37541_at SELPLG
37999_at CPOX
40905_s_at PRPF31
39865_at KCTD7
35845_at SEC24B
38290_at RGS14
38693_at ATP5L
32465_at NKX3-2
34246_at PXDC1
34693_at ST6GALNAC2
35133_at FER
36673_at MPI
32111_at CDYL
38190_r_at DEPDC5
1721_g_at MAD2L1
34974_at ADAMDEC1
39124_r_at TRPC1
41790_at ALDH5A1
41240_at PSMA2
32594_at CCT4
35858_at LOC100289561
37632_s_at DNAJC2
35786_at DENND4B
36333_at RPL7
37393_at HES1
34775_at TSPAN1
36976_at CDH11
41213_at PRDX1
36159_s_at PRNP
34908_at TTC30A
40736_at CDH17
34397_at LUC7L3
527_at CENPA
38578_at CD27
33799_at SIAH2
1488_at PTPRK
40155_at ABLIM1
41047_at C9orf16
1447_at PSMB1
32453_at OPN1SW
38685_at STX12
39390_at NUP133
39738_at MYH9
33039_at TRAT1
41225_at DUSP3
36083_at TSPAN31
35742_at C16orf45
38115_at TUSC2
40532_at BIRC5
39053_at PRPF3
38607_at TM4SF5
33766_at VIPR1
36837_at KIF2C
41662_at NECAP1
37587_at RCVRN
38435_at PRDX4
40654_at PEX7
36749_at CPA3
37422_at PPIC
40238_at IQCK
39705_at SIN3B
35480_at DDO
39283_at SHROOM2
33118_at SEMA3B
38099_r_at ACSL4
40281_at SEPT2
36985_at IDI1
39673_i_at ECM2
36602_at PMPCA
33407_at DIP2C
34499_at ACTN3
33291_at RASGRP1
37635_at TCHH
32206_at CDC42BPA
33578_at FZD9
39842_at CRLF1
31971_at C3orf27
36154_at IP6K1
40461_at ZHX3
41658_at CDC42EP2
41756_at GPN1
33979_at RNASE3
41539_at GRIN2C
39894_f_at BRD1
1516_g_at FEN1
33240_at PDZRN3
33534_at ESM1
37137_at GZMB
31560_at IL1RL2
37256_at PRUNE
39109_at TPX2
32097_at PCNT
41715_at PIK3C2B
34122_at CSN2
34660_at RNASE6
31881_at SGMS1
35539_at IMPG1
32153_s_at UBB
39811_at KXD1
40028_at C1orf105
35215_at LARP7
40331_at MARCO
36301_at INSL3
40997_at PCBP2
32475_at LILRA1
36495_at FBP1
36629_at TSC22D3
39366_at PPP1R3C
33099_at FUT5
37037_at P4HA1
38727_at MCFD2
37796_at SAP25
33942_s_at STXBP1
36596_r_at GATM
35250_at RNF24
39544_at SYNM
36645_at RELA
35747_at NPTN
39023_at IDH1
32661_s_at MDC1
38892_at KIAA0240
39979_at F10
34444_at CXorf1
40747_at AKAP6
33901_at SLC29A1
40633_at DIS3
40735_at HAL
32180_s_at FAM193A
40948_at ROM1
39139_at SEC11A
37523_at ACADL
33215_g_at MRPS12
40220_at HEXIM1
41104_at CXCL13
36581_at GARS
37031_at FAM120A
38427_at COL15A1
33028_at SLC6A5
40868_at THUMPD1
860_at MSH2
37834_at DYRK1B
33653_at MYF5
33916_at NISCH
38133_at SLC5A12
33394_at DDX19A
32255_i_at TERF1
32201_at SSNA1
