probeset_id	gene_symbol
221865_at C9orf91
222277_at C1QTNF9B-AS1
209903_s_at ATR
212993_at NACC2
218691_s_at PDLIM4
221414_s_at DEFB126
205113_at NEFM
206502_s_at INSM1
212601_at ZZEF1
201249_at SLC2A1
202252_at RAB13
203221_at TLE1
216331_at ITGA7
218194_at REXO2
211005_at LAT
203606_at NDUFS6
222096_x_at LOC100507284
203450_at CBY1
206412_at FER
212296_at PSMD14
202309_at MTHFD1
203831_at R3HDM2
204647_at HOMER3
205719_s_at PAH
209603_at GATA3
212456_at KIAA0664
219532_at ELOVL4
220024_s_at PRX
204052_s_at SFRP4
218697_at NCKIPSD
202038_at UBE4A
204476_s_at PC
212653_s_at EHBP1
213029_at NFIB
218546_at C1orf115
222315_at LOC100996756
47560_at LPHN1
202241_at TRIB1
204328_at TMC6
212651_at RHOBTB1
204205_at APOBEC3G
210814_at TRPC3
214661_s_at NOP14
206625_at PRPH2
207674_at FCAR
207413_s_at SCN5A
216215_s_at RBFOX2
221894_at ADCK2
201036_s_at HADH
202230_s_at CHERP
210053_at TAF5
214228_x_at TNFRSF4
218499_at MST4
220336_s_at GP6
221086_s_at FEZF2
200763_s_at RPLP1
202666_s_at ACTL6A
203386_at TBC1D4
203531_at CUL5
204229_at SLC17A7
206263_at FMO4
212954_at DYRK4
213675_at PARVA
218329_at PRDM4
218727_at SLC38A7
218942_at PIP4K2C
201667_at GJA1
211950_at UBR4
205910_s_at CEL
200948_at MLF2
202659_at PSMB10
205130_at MOK
212543_at AIM1
219920_s_at GMPPB
220781_at DEC1
201441_at COX6B1
207144_s_at CITED1
208988_at KDM2A
209975_at CYP2E1
209983_s_at NRXN2
218668_s_at RAP2C
203440_at CDH2
221648_s_at AGMAT
220155_s_at BRD9
204136_at COL7A1
200050_at ZNF146
201230_s_at ARIH2
212313_at CHMP7
213313_at RABGAP1
213518_at PRKCI
214841_at CNIH3
220293_at CATSPERB
200741_s_at RPS27
204897_at PTGER4
206698_at XK
207670_at KRT85
218125_s_at CCDC25
219002_at FASTKD1
221739_at C19orf10
204579_at FGFR4
217568_at EDDM3A
201928_at PKP4
207405_s_at RAD17
209187_at DR1
213205_s_at RAD54L2
213322_at C6orf130
202432_at PPP3CB
209841_s_at LRRN3
215808_at KLK10
219619_at DIRAS2
221340_at CDX4
202735_at EBP
205774_at F12
215691_x_at HSPB11
222077_s_at RACGAP1
200595_s_at EIF3A
205379_at CBR3
208094_s_at CCDC130
208658_at PDIA4
208858_s_at ESYT1
212127_at RANGAP1
212536_at ATP11B
201597_at COX7A2
203024_s_at C5orf15
212642_s_at HIVEP2
214183_s_at TKTL1
213567_at KPNA4
201410_at PLEKHB2
212695_at CRY2
203673_at TG
206949_s_at RUSC1
219187_at FKBPL
221914_at SYN1
221922_at GPSM2
207529_at DEFA5
208745_at ATP5L
210306_at L3MBTL1
211070_x_at DBI
214761_at ZNF423
218496_at RNASEH1
222000_at C1orf174
218212_s_at MOCS2
201738_at EIF1B
206012_at LEFTY2
