"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"200038_s_at"	0.0533347495381361	0.069523290316287	1.04936988306722	0.197458569823334	0.0275416928726146	0.0599486725679102	1.04242867321192	0.0343544194505924
"200039_s_at"	0.0694802372753069	-0.0643136184035236	-1.0455873691657	0.358404402315978	0.0356043528654224	-0.0717762677173922	-1.05100990646223	0.0493064364266374
"200040_at"	0.0560242212324946	0.0241638613413645	1.01689016514523	0.667814177889714	0.0315420903483572	0.012208274263794	1.00849803592126	0.700397309393443
"200041_s_at"	0.0779018333903503	-0.273806733596175	-1.20899370569382	0.000852475931065789	0.0571795499907621	-0.155544389499481	-1.1138418382993	0.00900119237603261
"200042_at"	0.0858832132479313	-0.0140025230985805	-1.00975306353073	0.871042976735577	0.0361161545212335	-0.00327770825494444	-1.00227451703381	0.928057545069849
"200043_at"	0.0533428346667181	0.159521806421029	1.11691686508716	0.0040585823262699	0.0233315890600767	0.0538393943496504	1.03802370783036	0.0252875311213328
"200044_at"	0.0388491825239748	0.00877337649522902	1.0060997694681	0.822112817832196	0.0263481533105384	-0.0177716081800387	-1.01239452335114	0.503168828959622
"200045_at"	0.0650241324752527	-0.102652454206467	-1.07374577468872	0.1197559155046	0.0383677303229466	-0.0864539645385395	-1.06175725343029	0.0287498833766249
"200046_at"	0.0653285809085504	0.0475858450108274	1.03353399667777	0.469245345335165	0.0371400158946061	0.0102820143492987	1.00715240640087	0.783063921720407
"200047_s_at"	0.0958808432055963	0.0758381139742851	1.0539731494402	0.432134238924995	0.0461635074852092	-0.02144788112859	-1.0149775949744	0.644270940624858
"200048_s_at"	0.0546795974643665	-0.0163406282366666	-1.01139084760678	0.766109739244686	0.0303790513273056	-0.0182358830196786	-1.01272037526719	0.551087140930906
"200049_at"	0.0474511050406514	0.0355445804343245	1.02494363999946	0.456786377316617	0.0342495605931711	-0.0225525488966694	-1.01575505824086	0.513313902157109
"200050_at"	0.0902031021821767	0.0970433496479538	1.06957922578341	0.286382298708772	0.0348567409736735	0.0114286314598176	1.00795318354428	0.744403545335174
"200051_at"	0.0533754911929224	0.0313785164143525	1.02198818411438	0.558854708980838	0.0391912889269388	-0.0472328999113665	-1.03328118084903	0.233918687185168
"200052_s_at"	0.118048018907043	-0.0708508526720321	-1.05033595356416	0.550680237797222	0.0367035626983532	0.0435626190206733	1.03065580812997	0.240998553395492
"200053_at"	0.0565172794619055	-0.166400401130443	-1.12225490447632	0.00462510452990719	0.0305977530793898	-0.0857426267608479	-1.06123387055491	0.00724807579235768
"200054_at"	0.0430522475918215	0.00835388257336971	1.00580726733029	0.846810664396379	0.0350429380444581	-0.0453600622945709	-1.03194069496558	0.201589648636141
"200055_at"	0.0869903073410175	0.0275301117257252	1.01926565234081	0.752760279507242	0.0412402866917585	-0.0709835681960103	-1.05043257987415	0.0915200791535849
"200056_s_at"	0.149464263539788	-0.0633261398606301	-1.04487194297498	0.673334404213103	0.0767115759539213	-0.0430069669870166	-1.0302589288803	0.577603057904672
"200057_s_at"	0.0359695926169791	0.0212854635781001	1.01486333597225	0.556270317825566	0.0272910505269399	-0.00740376207251673	-1.00514508754336	0.787308422862322
"200058_s_at"	0.0363811610802101	0.102784153780898	1.07384379839596	0.00643738863958066	0.0312097577505064	0.0954165994447302	1.06837387220224	0.00361224678236324
"200059_s_at"	0.068225548919401	-0.0853519967957519	-1.06094656546232	0.215862828060616	0.0336628267269315	-0.028735038133011	-1.02011728977944	0.397473065000202
"200060_s_at"	0.0510369274223014	0.0607497581667322	1.04300766354818	0.238692065538532	0.0278743854886603	0.0601884179273765	1.04260191717307	0.0357516988049318
"200061_s_at"	0.0502622652846746	0.024040649763755	1.01680332261242	0.634201381608721	0.0339367037669144	-0.00683251292167312	-1.00474716934253	0.841273159173021
"200062_s_at"	0.0567242053881358	0.082915429911506	1.05915624563505	0.149121475260678	0.0260082254891012	-0.0171950023997197	-1.01198997777625	0.511621210135706
"200063_s_at"	0.0445847864356441	0.0402970507097317	1.02832553694584	0.369761443364866	0.021746189836077	0.0323127978547047	1.02265023243503	0.143710060431351
"200064_at"	0.106974715960825	-0.249056213959801	-1.1884294107693	0.0233502625881053	0.0398764035827652	-0.10113633004519	-1.07261797098039	0.0144423232635103
"200065_s_at"	0.074796846564723	-0.103607409158658	-1.07445674842354	0.171211269771523	0.0249520054775812	-0.0332242901415422	-1.02329654527048	0.189176859247844
"200066_at"	0.0536066473479317	0.0502290766876809	1.03542932025372	0.35258170797855	0.0386785867270855	0.00786519047267532	1.00546662234817	0.83970561359311
"200067_x_at"	0.0754665565264369	-0.0613962942347203	-1.04347518660644	0.419170370304136	0.0379757923969365	-0.10010682861358	-1.07185282810492	0.011201683701155
"200068_s_at"	0.0515625908206993	0.0521486930429536	1.03680795533133	0.315970694805898	0.03823036464443	0.0250225773215797	1.01749561518089	0.515836804387394
"200069_at"	0.0643102921560667	0.156723044787302	1.11475219839801	0.0178453091628914	0.0333829923757478	0.0413956673301394	1.02910890817244	0.220872552115852
"200070_at"	0.0438436264447658	0.086642938182182	1.06189633845697	0.0528157618974074	0.0351684028886129	0.0371686388226577	1.02609808049618	0.295751097132216
"200071_at"	0.136325657071802	0.0255582393496423	1.017873473942	0.85192811127569	0.0443843172165149	-0.0483351603054085	-1.03407093897074	0.281474676099362
"200072_s_at"	0.0790971484464802	-0.158458498092231	-1.11609396806374	0.049740724227986	0.0426368831511685	-0.0725048134004001	-1.0515407893435	0.0953728662698289
"200073_s_at"	0.0610541648111586	0.0894243511811098	1.06394557350962	0.148318856512188	0.0458305477579106	0.0535276351528805	1.03779942032323	0.248479888143625
"200074_s_at"	0.0632798690559733	0.0443607775584767	1.03122616728904	0.486043100099827	0.0442774505835844	-0.0428641092582044	-1.03015691621669	0.337758687997518
