"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"200927_s_at"	0.152645418547801	-0.263887708705536	-1.20070996731518	0.0890816873210044	0.0481592866208052	-0.111792565278689	-1.08057002349406	0.024472631396486
"200933_x_at"	0.0372845003929289	0.148000752600513	1.10803292588447	0.0001979927099202	0.0276154837421259	0.0812560440583847	1.05793870591756	0.00496347039974989
"200940_s_at"	0.0638423388347819	0.143030160998919	1.10422193179804	0.0288464645920682	0.0418914713847679	0.0956246042436047	1.06852791925099	0.0268269571370799
"200941_at"	0.0840397880450304	-0.0332364780307301	-1.02330519011726	0.693911369732826	0.0423593924292361	-0.0882343355445413	-1.06306833348548	0.0424920880180444
"200943_at"	0.102251272090365	0.137797921848554	1.10022449023732	0.182926455016186	0.0474975644331779	0.127035407704271	1.09204734726221	0.0101408190410572
"200948_at"	0.0904901034373146	-0.178726418665807	-1.13188424013803	0.0529421985413698	0.0314121054629933	-0.0695492954018003	-1.04938879849891	0.0315064842988517
"200950_at"	0.116960191170742	-0.194422393634831	-1.14426594344302	0.101758078126788	0.0267686052622348	-0.0796290629219133	-1.05674630137111	0.00454207714363998
"200953_s_at"	0.138460171290802	-0.272529900545747	-1.20792417944364	0.0537390787103706	0.0511422523346907	-0.1055555080301	-1.07590858804658	0.0443377368433988
"200957_s_at"	0.0345364183031287	-0.0693120561203601	-1.04921624936748	0.0493464040606077	0.0289663932924322	-0.0677578691351688	-1.04808655794985	0.0234468456967868
"200959_at"	0.0782523922970127	-0.271516163437262	-1.20707570667863	0.000980029633894518	0.0445600506715572	-0.11732276813344	-1.08472006158527	0.0112930046531195
"200977_s_at"	0.103893323014181	0.031609977813315	1.02215216179841	0.762004796079852	0.0373470406982917	0.0766958725542517	1.05459997859935	0.0453712076365619
"200987_x_at"	0.0723887362592479	-0.194328154425999	-1.14419120055402	0.00941434492502806	0.0324939840066789	-0.134504699182698	-1.09771588526031	0.000136622672350243
"200989_at"	0.0800661696053077	0.23720375902333	1.17870587057105	0.0043920380127074	0.0374508335625391	0.151015670582122	1.11035089421655	0.000192564612338774
"201000_at"	0.110410531592219	-0.225259412466137	-1.16898742648547	0.0458146634216382	0.0294841238546982	-0.061617772834267	-1.0436353903618	0.0418426512108245
"201001_s_at"	0.126262509577747	-0.387863443522697	-1.3084542155119	0.00321584441351002	0.0493924142708503	-0.131713182606268	-1.09559393341591	0.0103506536917982
"201002_s_at"	0.078324177718702	-0.140138956432046	-1.10201125346851	0.0787130252619558	0.0297371931351201	-0.0712223527748256	-1.05060645436096	0.0204849704970925
"201010_s_at"	0.168695875484296	0.463489882628754	1.37887328475609	0.00795289385043431	0.10893283392913	0.312946703971956	1.24224239002887	0.00599737892597931
"201016_at"	0.0915387793041963	-0.165675416204464	-1.12169108920705	0.0754063306719562	0.0590845387812227	-0.13053211198144	-1.09469738614863	0.0318631632062771
"201017_at"	0.167400648789135	-0.577672910152416	-1.49243997684702	0.00103884106671052	0.091716589212641	-0.274771738826285	-1.20980266080597	0.00428446080780317
"201018_at"	0.125281450332764	0.0635435084836611	1.0450293840696	0.613900904447107	0.0340092620207043	0.0764370241712003	1.05441077921641	0.0291411980765258
